Date,KOSEF 미국달러선물인버스
2018-07-31,11065.0
2018-08-01,11040.0
2018-08-02,10990.0
2018-08-03,10975.0
2018-08-06,11010.0
2018-08-07,11015.0
2018-08-08,11055.0
2018-08-09,11080.0
2018-08-10,10955.0
2018-08-13,10910.0
2018-08-14,10940.0
2018-08-16,10955.0
2018-08-17,11005.0
2018-08-20,11015.0
2018-08-21,11060.0
2018-08-22,11045.0
2018-08-23,11040.0
2018-08-24,11060.0
2018-08-27,11100.0
2018-08-28,11135.0
2018-08-29,11155.0
2018-08-30,11145.0
2018-08-31,11105.0
2018-09-03,11090.0
2018-09-04,11110.0
2018-09-05,11050.0
2018-09-06,11000.0
2018-09-07,10990.0
2018-09-10,10950.0
2018-09-11,10990.0
2018-09-12,10945.0
2018-09-13,11015.0
2018-09-14,11060.0
2018-09-17,10955.0
2018-09-18,11005.0
2018-09-19,11020.0
