Date,파워 코스피100
2017-10-17,25575.0
2017-10-18,25395.0
2017-10-19,25265.0
2017-10-20,25345.0
2017-10-23,25480.0
2017-10-24,25445.0
2017-10-25,25450.0
2017-10-26,25370.0
2017-10-27,25395.0
2017-10-30,25470.0
2017-10-31,25830.0
2017-11-01,26115.0
2017-11-02,26135.0
2017-11-03,26220.0
2017-11-06,26035.0
2017-11-07,25960.0
2017-11-08,26025.0
2017-11-09,25985.0
2017-11-10,25975.0
2017-11-13,25850.0
2017-11-14,25745.0
2017-11-15,25605.0
2017-11-16,25660.0
2017-11-17,25795.0
2017-11-20,25670.0
2017-11-21,25660.0
2017-11-22,25875.0
2017-11-23,25805.0
2017-11-24,25870.0
2017-11-27,25440.0
2017-11-28,25455.0
2017-11-29,25475.0
2017-11-30,25080.0
2017-12-01,25050.0
2017-12-04,25230.0
2017-12-05,25290.0
2017-12-06,25020.0
2017-12-07,24915.0
2017-12-08,24965.0
2017-12-11,25015.0
2017-12-12,25115.0
2017-12-13,25125.0
2017-12-14,25130.0
2017-12-15,25160.0
2017-12-18,25255.0
2017-12-19,25240.0
2017-12-20,25185.0
2017-12-21,24725.0
2017-12-22,24725.0
2017-12-26,24625.0
2017-12-27,24855.0
2017-12-28,26650.0
2018-01-02,25510.0
2018-01-03,25590.0
2018-01-04,25425.0
2018-01-05,25620.0
2018-01-08,25810.0
2018-01-09,25800.0
2018-01-10,25595.0
2018-01-11,25495.0
2018-01-12,25300.0
2018-01-15,25570.0
2018-01-16,25735.0
2018-01-17,25665.0
2018-01-18,25725.0
2018-01-19,25680.0
2018-01-22,25475.0
2018-01-23,25715.0
2018-01-24,25810.0
2018-01-25,25960.0
2018-01-26,25975.0
2018-01-29,26305.0
2018-01-30,25965.0
2018-01-31,25955.0
2018-02-01,25970.0
2018-02-02,25470.0
2018-02-05,25225.0
2018-02-06,24860.0
2018-02-07,24255.0
2018-02-08,24305.0
2018-02-09,23760.0
2018-02-12,24025.0
2018-02-13,24300.0
2018-02-14,24595.0
2018-02-19,24635.0
2018-02-20,24415.0
2018-02-21,24555.0
2018-02-22,24385.0
2018-02-23,24650.0
2018-02-26,24790.0
2018-02-27,24765.0
2018-02-28,24455.0
2018-03-02,24115.0
2018-03-05,23830.0
2018-03-06,24265.0
2018-03-07,24380.0
2018-03-08,24565.0
2018-03-09,24855.0
2018-03-12,25160.0
2018-03-13,25315.0
2018-03-14,25235.0
2018-03-15,25285.0
2018-03-16,25300.0
2018-03-19,25090.0
2018-03-20,25205.0
2018-03-21,25190.0
2018-03-22,25330.0
2018-03-23,24495.0
2018-03-26,24600.0
2018-03-27,24760.0
2018-03-28,24395.0
2018-03-29,24605.0
2018-03-30,24655.0
2018-04-02,24605.0
2018-04-03,24545.0
2018-04-04,24165.0
2018-04-05,24525.0
2018-04-06,24410.0
2018-04-09,24550.0
2018-04-10,24590.0
2018-04-11,24495.0
2018-04-12,24535.0
2018-04-13,24660.0
2018-04-16,24675.0
2018-04-17,24635.0
2018-04-18,24945.0
2018-04-19,25085.0
2018-04-20,24890.0
2018-04-23,24895.0
2018-04-24,24720.0
2018-04-25,24590.0
2018-04-26,24905.0
2018-04-27,24665.0
2018-04-30,24930.0
2018-05-02,24840.0
2018-05-03,24690.0
2018-05-04,24380.0
2018-05-08,24335.0
2018-05-09,24195.0
2018-05-10,24330.0
2018-05-11,24480.0
2018-05-14,24370.0
2018-05-15,24160.0
2018-05-16,24275.0
2018-05-17,24145.0
2018-05-18,24205.0
2018-05-21,24295.0
2018-05-23,24485.0
2018-05-24,24430.0
2018-05-25,24525.0
2018-05-28,24515.0
2018-05-29,24305.0
2018-05-30,23745.0
2018-05-31,23850.0
2018-06-01,24045.0
2018-06-04,24165.0
2018-06-05,24240.0
2018-06-07,24370.0
2018-06-08,24185.0
2018-06-11,24335.0
2018-06-12,24320.0
2018-06-14,23850.0
2018-06-15,23720.0
2018-06-18,23460.0
2018-06-19,23200.0
2018-06-20,23395.0
2018-06-21,23180.0
2018-06-22,23385.0
2018-06-25,23340.0
2018-06-26,23295.0
2018-06-27,23285.0
2018-06-28,23025.0
2018-06-29,23125.0
2018-07-02,22645.0
2018-07-03,22675.0
2018-07-04,22590.0
2018-07-05,22550.0
2018-07-06,22615.0
2018-07-09,22825.0
2018-07-10,22895.0
2018-07-11,22760.0
2018-07-12,22745.0
2018-07-13,23090.0
2018-07-16,22995.0
2018-07-17,22960.0
2018-07-18,22960.0
2018-07-19,22925.0
2018-07-20,23005.0
2018-07-23,22810.0
2018-07-24,22860.0
2018-07-25,22800.0
2018-07-26,22965.0
2018-07-27,23025.0
2018-07-30,22900.0
2018-07-31,22895.0
2018-08-01,23005.0
2018-08-02,22600.0
2018-08-03,22745.0
2018-08-06,22720.0
2018-08-07,22885.0
2018-08-08,22895.0
2018-08-09,22910.0
2018-08-10,22590.0
2018-08-13,22300.0
2018-08-14,22390.0
2018-08-16,22160.0
2018-08-17,22175.0
2018-08-20,22160.0
2018-08-21,22435.0
2018-08-22,22535.0
2018-08-23,22635.0
2018-08-24,22730.0
2018-08-27,22855.0
2018-08-28,22855.0
2018-08-29,22925.0
2018-08-30,22945.0
2018-08-31,23030.0
2018-09-03,22880.0
2018-09-04,22990.0
2018-09-05,22680.0
2018-09-06,22625.0
2018-09-07,22485.0
2018-09-10,22545.0
2018-09-11,22425.0
2018-09-12,22410.0
2018-09-13,22410.0
2018-09-14,22800.0
2018-09-17,22655.0
2018-09-18,22725.0
2018-09-19,22790.0
2018-09-20,23000.0
2018-09-21,23120.0
2018-09-27,23315.0
2018-09-28,23130.0
2018-10-01,23125.0
2018-10-02,22825.0
